ip,timestamp,method,endpoint,status,bytes
link097.txdirect.net,1995-07-01 04:03:13,GET,/shuttle/missions/sts-65/mission-sts-65.html,200,130811
lmsmith.tezcat.com,1995-07-01 04:03:13,GET,"/cgi-bin/imagemap/countdown?103,175",302,110
ppp-nyc-3-1.ios.com,1995-07-01 04:03:14,GET,/shuttle/missions/sts-71/sts-71-patch-small.gif,200,12054
129.188.154.200,1995-07-01 04:03:14,GET,/images/launchpalms-small.gif,200,11473
lmsmith.tezcat.com,1995-07-01 04:03:14,GET,/shuttle/missions/sts-71/images/images.html,200,7634
brandt.xensei.com,1995-07-01 04:03:15,GET,/images/launch-logo.gif,200,1713
charger.execpc.com,1995-07-01 04:03:15,GET,/shuttle/missions/missions.html,200,8677
129.188.154.200,1995-07-01 04:03:16,GET,/images/NASA-logosmall.gif,200,786
129.188.154.200,1995-07-01 04:03:16,GET,/images/KSC-logosmall.gif,200,1204
charger.execpc.com,1995-07-01 04:03:16,GET,/images/launchmedium.gif,200,11853
129.94.144.152,1995-07-01 04:03:19,GET,/images/shuttle-patch-small.gif,200,4179
charger.execpc.com,1995-07-01 04:03:19,GET,/images/NASA-logosmall.gif,200,786
charger.execpc.com,1995-07-01 04:03:19,GET,/images/KSC-logosmall.gif,200,1204
www-a1.proxy.aol.com,1995-07-01 04:03:20,GET,"/cgi-bin/imagemap/countdown?107,144",302,96
dd11-054.compuserve.com,1995-07-01 04:03:24,GET,/images/ksclogo-medium.gif,200,5866
pipe6.nyc.pipeline.com,1995-07-01 04:03:25,GET,/shuttle/missions/sts-71/movies/movies.html,200,3092
ix-or10-06.ix.netcom.com,1995-07-01 04:03:26,GET,/software/,200,689
port2.electrotex.com,1995-07-01 04:03:27,GET,/images/NASA-logosmall.gif,200,786
isdn6-34.dnai.com,1995-07-01 04:03:30,GET,/shuttle/missions/sts-68/sts-68-patch-small.gif,200,17459
midcom.com,1995-07-01 04:03:31,GET,/history/apollo/apollo-13/apollo-13.html,200,18114
